pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2025-09-16,2025-09-22,ENA_USDT,ConsecDownDays,0.6981,0.57958571,5,-1.0,-9.7512,stop,MIXED,0.25
B,2025-09-22,2025-10-10,ENA_USDT,ConsecDownDays,0.5997,0.49808571,17,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-22,2025-10-10,XRP_USDT,ConsecDownDays,2.8526,2.63261429,17,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-23,2025-10-10,BCH_USDT,ConsecDownDays,556.7,511.18571429,16,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-23,2025-10-10,LINK_USDT,ConsecDownDays,21.52,19.1,16,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-23,2025-10-10,PENDLE_USDT,ConsecDownDays,4.699,4.04085714,16,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-23,2025-10-10,PENGU_USDT,ConsecDownDays,0.029353,0.02383386,16,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-23,2025-10-10,WLD_USDT,ConsecDownDays,1.306,0.97442857,16,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-25,2025-10-10,ETH_USDT,ConsecDownDays,3874.36,3523.12714286,14,-1.0,-9.7415,stop,MIXED,0.25
B,2025-09-25,2025-10-16,SOL_USDT,ConsecDownDays,192.74,184.85,20,-0.3203,-3.1204,time_exit,MIXED,0.25
B,2025-10-16,2025-11-06,ZEC_USDT,ConsecDownDays,205.07,535.84,20,3.0404,29.002,time_exit,BEAR,0.25
B,2025-10-17,2025-11-07,BNB_USDT,ConsecDownDays,1071.15,991.15,20,-0.3091,-2.9483,time_exit,BEAR,0.25
B,2025-11-14,2025-11-21,BNB_USDT,ConsecDownDays,915.25,804.74714286,6,-1.0,-9.604,stop,BEAR,0.25
B,2025-12-01,2025-12-22,DASH_USDT,ConsecDownDays,48.38,38.38,20,-0.6073,-5.8176,time_exit,BEAR,0.25
B,2025-12-24,2026-01-14,BCH_USDT,ConsecDownDays,568.7,597.4,20,0.4221,4.0372,time_exit,BEAR,0.25
B,2026-01-10,2026-01-31,ZEC_USDT,ConsecDownDays,375.76,292.83,20,-1.0,-9.5654,stop,BEAR,0.25
B,2026-01-22,2026-02-05,CHZ_USDT,ConsecDownDays,0.05088,0.04012857,13,-1.0,-9.5755,stop,BEAR,0.25
B,2026-04-18,2026-05-09,ZEC_USDT,ConsecDownDays,323.15,594.59,20,4.2048,40.0623,time_exit,BEAR,0.25
